Month_Day,2018,2019,2020,2021,2022,2023,2024
07-29,1595899,148413,145581,2405621,116000,4233086.0,259070.22
07-30,181298,1516868,403387,1001102,1509348,2669179.2,163355.33
07-31,1842774,1790659,786211,72050,46424,3242664.5,198453.92
08-01,1504137,1939840,132474,613200,1292425,3413468.0,208907.17
08-02,494192,248142,985410,153552,2701790,1733992.9,106119.41
08-03,1030556,1688033,985410,1053242,518301,2970372.5,181789.39
08-04,1030556,350293,452949,31752,1198180,1813434.2,110981.37
08-05,1512319,1592203,985410,87319,73927,2801743.0,171468.92
08-06,50991,995967,1715022,1258893,1304588,3017864.0,184695.47
08-07,1141053,1744126,1327088,1001102,794796,3069076.5,187830.34
08-08,249906,995967,1805132,694112,1982668,3176426.8,194400.3
08-09,203621,646170,736976,1001102,1262948,1761604.8,107809.39
08-10,183259,2136348,1312861,83000,1198180,3759255.0,230071.23
08-11,1030556,1360447,2079704,154181,1589140,3659580.2,223969.86
08-12,1030556,918005,149043,1001102,130337,1813434.2,110981.37
08-13,250651,995967,1686456,1001102,1198180,2967596.2,181619.23
08-14,2809531,1562233,985410,374371,1397685,4943831.0,302570.56
08-15,182762,995967,81425,2250345,109140,3959852.8,242348.14
08-16,1030556,2008845,1563185,254785,1000240,3534894.0,216339.31
08-17,1490020,995967,985410,542978,2591653,2621936.2,160464.67
08-18,1030556,167724,309225,1232847,1198180,2169398.0,132767.64
08-19,545365,738924,985410,1767985,535954,3111060.5,190399.28
08-20,229054,2152931,985410,263587,245116,3788436.0,231856.58
08-21,144986,109699,2005251,1421332,1198180,3528568.5,215952.19
08-22,105200,870185,1423800,922886,2347883,2505411.5,153332.05
08-23,11532,2581136,445413,1001102,934059,4541931.5,277972.9
08-24,1030556,995967,693932,323155,1767938,1813434.2,110981.37
08-25,836328,266229,985410,799402,692267,1733992.9,106119.41
08-26,78000,90277,789389,323623,1198180,1389061.8,85008.69
08-27,983630,995967,46182,1001102,221047,1761604.8,107809.39
08-28,787922,2088198,1517943,184925,1639211,3674528.0,224884.86
08-29,113473,1371241,985410,1687704,1198180,2969794.2,181753.83
08-30,1030556,1721775,274471,1001102,4243153,3029747.0,185422.73
08-31,1581838,813114,2050034,1280352,1198180,3607373.0,220775.97
09-01,835290,995967,985410,1001102,1198180,1761604.8,107809.39
09-02,1452479,995967,985410,1001102,1198180,2555877.2,156421.17
09-03,1127602,158098,708148,1222897,1982907,2151890.2,131695.9
09-04,277265,2602408,985410,801358,1132502,4579364.0,280263.8
