2015,2016,2017,2018,2019,2020,2021,2022,2023
147392,192556,287897,471404,596863,340276,480098,324111,288056
47755,0,0,30050,0,0,0,0,0
225075,202515,259835,0,0,0,0,0,310930
76730,149280,8204,41480,34770,10191,53368,54560,16197
83021,193211,56109,6284,0,0,0,0,0
3713,19788,9823,7300,0,0,0,0,25714
71574,64595,58036,44294,23866,29153,364,15278,21255
162391,223085,2277826,1274609,5940,630418,2075433,2374803,2633256
4423302,2951520,3717165,4108617,3337145,3093427,3093498,3323084,2923359
29355,7230,11637,6200,435,3900,0,0,430
241608,127726,182177,34196,0,37682,39109,293459,191255
3255796,3770304,3643845,4089577,3886740,3383469,5380919,2875188,3718903
1188834,1496717,1106699,1132793,1400630,1781684,2283208,1598362,2379745
10052,9277,8314,2846,4992,3018,9880,3968,0
5512,0,0,0,0,0,0,0,0
23748,26094,47789,2747,14400,2338,13509,7253,12216
1757,16566,7579,0,0,0,0,48143,0
25000,114000,28500,0,0,0,0,55500,0
52500,0,0,0,0,0,0,0,0
18333,16038,14606,2967,3884,2148,3092,0,0
49600,71150,143500,266012,124144,165696,183617,130362,96000
3949,15552,12304,0,6380,3714,958,2009,855
390,736,0,321,0,960,365,0,6582
9215,766,0,0,0,0,0,0,0
2555566,3384406,4562248,3752211,3049601,2050189,2992720,2872575,2119800
818592,773251,1014785,850994,944196,1323558,806152,719376,1238894
1064,12544,9633,64211,149140,17026,43188,47034,45028
48071,7130,6497,9965,6281,13952,22675,15486,3382
308542,909840,2429440,2892300,2936634,2358728,498000,214750,2426605
6907,3626,0,85909,19431,1557,8527,16016,4378
95945,328336,248150,194040,260705,295045,397627,392460,373037
13750,3400,10295,7000,3900,2500,0,7750,1250
32590,0,0,11857,6854,17524,30094,109227,45093
1402100,1718000,988000,675330,676000,338000,259000,182000,0
73243,129849,145582,187943,235841,271274,248924,201267,319738
11106,90594,0,0,0,7655,51712,115468,60945
5107,54127,73908,135523,133407,170399,182238,354357,399106
3223,0,0,0,0,0,0,0,0
444500,156000,0,0,28000,0,40854,0,0
75422,5922,127,0,0,14128,0,5759,39907
255,107,90,343,450,411,0,0,355
4234,1362,3316,0,0,0,0,0,0
200,0,0,0,0,0,0,2824,0
1000,0,0,0,0,0,0,0,0
