Month_Day,2018,2019,2020,2021,2022,2023
09-29,2420666,690574,1895615,2205453,1372961,1368801.1063898215
09-30,38000,1077076,25002,1001102,1198180,1229875.9314157537
10-01,1378525,995967,462707,1001102,2576140,2113278.829881569
10-02,1030556,995967,618867,2051000,1177883,1337213.166475077
10-03,448986,32531,2932800,396127,1198180,1195225.6835366003
10-04,2719554,500886,397539,1001102,1347521,1395353.721867302
10-05,1030556,1727793,266169,1001102,887222,1349044.5412127618
10-06,1030556,534194,219160,140492,1198180,1192048.4441972098
10-07,1799338,336087,985410,1113275,253239,243805.65205119026
10-08,92929,577380,496805,2554997,399892,469191.2450764376
10-09,754418,995967,985410,1001102,1301113,1042243.7903424883
10-10,406531,995967,1655854,1001102,1040320,978486.3345075483
10-11,1030556,995967,502113,1901362,3164532,2616584.268455879
10-12,1545985,1263175,390885,187610,1198180,1115308.5382440425
10-13,1030556,900885,638239,190401,1198180,1259998.0944851206
10-14,959612,2801771,1334916,1294739,1198180,1164953.5306142434
10-15,1030556,995967,30000,1001102,1198180,996357.2632533412
10-16,2902543,995967,1465541,117895,1720179,1669169.9995648437
10-17,1030556,995967,985410,1685168,789497,895221.0368820518
10-18,372810,1764841,89608,964895,1352002,1408916.7020233418
10-19,467978,995967,1856334,1270703,1968600,1869631.3200098285
10-20,1030556,337365,985410,1001102,1198180,1226827.435806389
10-21,727386,1232607,1384924,1520478,472053,637068.9815067081
10-22,1231810,1442428,985410,109161,323999,403314.5316040196
10-23,1882107,154999,81766,702053,692504,750106.0114557558
10-24,1030556,995967,985410,1206527,2678247,2200556.892484378
10-25,1030556,1220440,985410,1001102,1764542,1396032.0065641417
10-26,630233,24000,2728328,1607445,1198180,1155439.5928391386
10-27,1489303,984841,1390039,1432875,1198180,1034115.4371432805
10-28,1030556,1331615,985410,28320,49881,220144.9513740989
10-29,2345779,1242249,40033,1001102,1048859,976215.4113262433
10-30,1590006,69450,985410,496914,2158821,1950598.5900792393
10-31,1030556,995967,167759,2622446,1198180,1297759.7629619169
