Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
04-24,879540,690751,985410,282935,1267286,1211278.9468788048,1218676.33833195,1217218.4926390492,1214737.3073129405
04-25,18000,445393,985410,1001102,1198180,1269817.4774267394,1263650.1307433357,1264266.6279852367,1263792.0397393317
04-26,1030556,1034416,3791522,1303232,539478,607196.8812521584,616959.1956774171,615515.7291363473,615296.6179903883
04-27,425729,995967,807485,1219717,477336,644071.926609761,637202.3361395161,639486.5480411709,639637.9391568465
04-28,353346,995967,985410,292517,843429,878466.2753804276,882362.5363914253,880961.7535810817,880220.9869845582
04-29,1492435,1970252,2068891,1001102,1527271,1629041.2474195191,1614787.4373126798,1611702.1714180028,1609763.1033324462
04-30,1794152,2101064,985410,1238210,1037837,1093914.876285065,1088623.4330404974,1087703.3948219875,1087365.110876604
05-01,986364,995967,985410,1001102,66795,640063.6601944821,626168.7353299619,625565.59566997,625657.3626557864
05-02,1030556,1015588,2110999,1001102,2361155,1965805.3101230776,1973451.6791448048,1975187.7392964992,1975521.04839629
05-03,893405,1277713,1300098,1001102,2183113,1991583.5498061809,1976543.297060008,1975834.312918484,1977096.216740158
05-04,1030556,2828337,985410,228621,1811580,1727586.4959891832,1730239.0954059325,1733436.593486751,1734853.1820466097
05-05,101725,391165,2064058,1001102,608008,682103.0388576546,690346.7039732614,690905.9916303396,691614.7452323217
05-06,1165063,1031023,2700232,1250466,762558,794293.3652298952,784546.2880771474,785145.1491131573,785760.2746641629
05-07,1030556,533203,102836,332753,1198180,1254174.0019001735,1225069.9837788374,1229103.620749779,1230131.8024753626
05-08,446726,1389275,1504014,15876,250165,324418.2359335429,324992.3894115857,324765.34024089144,324187.01972681493
05-09,1226065,2524884,236003,2124476,1198180,1169514.223753868,1183054.6578070538,1185086.1998179408,1185432.4346160484
05-10,556401,995967,139570,2700007,2708486,2552345.709251144,2557699.0729476325,2556723.380320644,2556247.117656721
05-11,1679491,1805895,991281,346950,1198180,1130417.940401705,1139481.229171463,1140137.809149521,1140645.857213956
05-12,344526,995967,1783359,1001102,501138,809761.5702620356,776145.0767466992,774608.2845252107,774180.7983001377
05-13,1030556,1205260,985410,1001102,1198180,1351143.501285097,1256794.2288077392,1266474.7654151917,1270654.468415446
05-14,1635511,1689095,985410,1103407,100686,198031.1227800772,192398.30601596905,193306.6990305516,192902.9410502708
05-15,1457846,72452,80000,1001102,2582503,2478143.367736001,2467144.798579888,2465858.8024439653,2466091.9699090794
05-16,1030556,15000,1536693,2389491,1710925,1661196.0057927114,1657128.4155716477,1654993.09844363,1654517.6346816164
05-17,1030556,424325,985410,1001102,1198180,1199754.830577328,1213049.6582976407,1205253.8547261974,1204814.543312929
05-18,618354,1035713,1618502,1001102,335345,476807.2497843718,495430.7109391703,494487.4997994732,494629.8145706599
05-19,1724855,995967,1700775,980163,1198180,1154340.072223812,1144599.2222134953,1146016.0577847734,1146783.95817118
05-20,32977,1269085,985410,502782,1172228,1223263.9462511286,1222596.773905435,1223373.982543193,1223442.1032511005
05-21,1152978,1797842,766116,797311,329540,302308.6274753625,310699.0227323675,313426.27519680886,314627.1258776153
05-22,1569985,324857,1932343,1001102,2225042,2240727.192290683,2225327.775003461,2223155.332093987,2222232.0664399723
05-23,224529,995967,985410,160463,641067,693906.2549164677,692077.861223133,695968.5032989427,695996.1422395422
05-24,1030556,2000530,985410,1709501,328220,450745.755622745,441099.5855765798,443578.1383138773,445087.6491235816
05-25,1030556,47878,1354063,410375,273731,432526.6501002769,436114.0499095764,433304.5050043297,431939.8487719485
05-26,2481189,995967,1144446,1001102,179127,460039.65380706254,449361.5573213062,449523.4864934215,449439.2766022732
05-27,2591526,1505501,985410,1001102,1730231,1657748.635203674,1654801.7120255025,1652786.681240759,1650704.4947981779
05-28,1030556,1827491,318615,1636455,1198180,1204325.9658455264,1216822.7500693293,1217231.2402081955,1218451.3113997688
05-29,1030556,860585,985410,2204343,1198180,950075.2118870406,988179.7255158254,992206.2486219578,995036.9705943472
05-30,1286324,995967,153876,1305059,5734111,5335881.784866799,5329224.17577586,5327801.997605376,5327062.069020871
05-31,421774,1792161,1343077,1001102,816859,744355.6539996502,757090.9434637886,758628.6452745257,758925.7766847
06-01,703570,995967,908810,558130,1198180,1135710.1212997816,1105929.9927471897,1113999.1028392864,1117108.3292995759
06-02,2787360,53877,102000,678089,1198180,1135982.0539215775,1142196.518205666,1142134.4799698356,1142562.905271717
06-03,2401072,995967,924133,649070,1198180,1090248.7371309854,1106797.8351294145,1106117.8912616,1106909.7660258953
06-04,1627907,43000,233917,880693,732844,793485.3375041881,792091.9139049735,790002.5254948772,789266.9868690992
06-05,1030556,145803,1311267,1795806,1474452,1417628.060072282,1412711.1460163856,1412705.6892631913,1413363.970070454
06-06,534235,397894,807514,611210,666718,655645.7295385706,686723.6157002188,686945.7742772535,688112.5878133159
06-07,1360307,10374,328430,1213845,1198180,1267999.6546979526,1271125.9399363587,1271766.8944867186,1272331.127564854
06-08,3598011,1593326,928276,1001102,2919146,2876414.88091598,2870149.9934694143,2870110.4672025423,2870471.8619826958
06-09,1030556,826587,985410,445759,1198180,1139667.3178684055,1147558.9237505775,1152471.632045654,1150914.97011182
06-10,806997,33113,1239409,224683,2610859,2463081.0780896554,2464617.554431056,2465547.708284531,2465680.230875212
06-11,1590813,105504,985410,196783,1060373,1124890.8155316496,1109776.3414180845,1110728.7804748225,1112047.4309622596
06-12,4835,916661,174263,1470461,33434,73755.27380618267,78827.73971352493,78439.46068002633,78377.37292969576
06-13,825046,995967,1735664,1001102,1198180,1041913.2452959002,1066531.8299926864,1072339.7057215355,1072330.5789396937
06-14,1030556,482812,985410,534095,2993596,2576647.435936159,2557759.12355345,2554963.1869581845,2555466.598444206
06-15,1280016,1730771,1899715,911277,816956,897288.8334423933,904030.5594769176,905022.213809273,905138.8527416366
06-16,154873,995967,985410,432767,102566,347192.9765575442,363207.6910883751,362483.1011093484,363832.89699710265
