Month_Day,2018,2019,2020,2021,2022,2023,2024
09-25,3198049,61920,1417076,611149,496917,491520.6,491353.44
09-26,1030556,995967,985410,1853309,1198180,1281163.4,1270782.8
09-27,1030556,1877253,145319,1001102,2449697,2396149.0,2397686.2
09-28,936500,111977,345467,1336377,1198180,1198099.0,1197923.1
09-29,2420666,690574,1895615,2205453,1372961,1363407.9,1364077.9
09-30,38000,1077076,25002,1001102,1198180,1195100.9,1194376.1
10-01,1378525,995967,462707,1001102,2576140,2503015.5,2501481.8
10-02,1030556,995967,618867,2051000,1177883,1201602.2,1198607.9
10-03,448986,32531,2932800,396127,1198180,1199469.1,1199409.0
10-04,2719554,500886,397539,1001102,1347521,1344205.8,1343997.9
10-05,1030556,1727793,266169,1001102,887222,963489.2,963333.25
10-06,1030556,534194,219160,140492,1198180,1189927.2,1192638.2
10-07,1799338,336087,985410,1113275,253239,259940.6,259962.48
10-08,92929,577380,496805,2554997,399892,406727.28,406788.44
10-09,754418,995967,985410,1001102,1301113,1148470.4,1154436.6
10-10,406531,995967,1655854,1001102,1040320,990207.7,989164.7
10-11,1030556,995967,502113,1901362,3164532,3044555.8,3044287.0
10-12,1545985,1263175,390885,187610,1198180,1197124.8,1197526.1
10-13,1030556,900885,638239,190401,1198180,1209182.6,1209077.5
10-14,959612,2801771,1334916,1294739,1198180,1181752.1,1181465.2
10-15,1030556,995967,30000,1001102,1198180,1143228.4,1146782.0
10-16,2902543,995967,1465541,117895,1720179,1727212.9,1727016.4
10-17,1030556,995967,985410,1685168,789497,826138.25,824636.8
10-18,372810,1764841,89608,964895,1352002,1356642.5,1355974.5
10-19,467978,995967,1856334,1270703,1968600,1926388.8,1927261.5
10-20,1030556,337365,985410,1001102,1198180,1211738.5,1208478.1
10-21,727386,1232607,1384924,1520478,472053,481091.1,480401.0
10-22,1231810,1442428,985410,109161,323999,311997.3,313879.9
10-23,1882107,154999,81766,702053,692504,680932.0,681152.9
10-24,1030556,995967,985410,1206527,2678247,2534293.2,2533644.5
10-25,1030556,1220440,985410,1001102,1764542,1521870.2,1531570.4
10-26,630233,24000,2728328,1607445,1198180,1199237.9,1198876.9
10-27,1489303,984841,1390039,1432875,1198180,1175572.8,1178493.1
10-28,1030556,1331615,985410,28320,49881,100188.52,100287.04
10-29,2345779,1242249,40033,1001102,1048859,1047340.7,1046901.0
10-30,1590006,69450,985410,496914,2158821,2142177.2,2142271.0
10-31,1030556,995967,167759,2622446,1198180,1250240.5,1248054.6
11-01,1030556,1317508,985410,1163870,2776196,2734369.5,2734475.8
11-02,1030556,911443,1779630,555545,1068819,1081500.8,1080306.9
11-03,597719,1549416,110237,1001102,1198180,1255237.0,1251034.2
11-04,1030556,995967,985410,1001102,549580,1058784.0,1046406.75
11-05,685638,995967,856184,2894443,515414,539833.5,539464.0
11-06,1084752,1895321,289131,749747,749205,764518.5,764653.3
11-07,476374,249075,301669,1140349,1198180,1214080.5,1214708.9
11-08,53000,24000,1826925,215714,1877499,1880656.0,1880919.6
11-09,1823828,313454,985410,548946,631011,661297.06,660416.6
11-10,776127,798181,985410,738000,735571,756702.9,757064.9
11-11,669810,1769135,1303282,1001102,127226,221720.23,221521.62
11-12,45000,65554,345699,999768,263172,270175.2,270274.03
11-13,1030556,1443565,1195712,392751,1321624,1321854.0,1320149.1
11-14,1030556,31000,136145,400150,186143,170576.98,172757.52
11-15,76884,1911086,1246453,1599285,3334970,3329232.5,3329249.2
11-16,1488036,249889,1338890,1885526,1722214,1743625.6,1743572.1
11-17,788942,709253,178053,494876,1198180,1202586.4,1202022.1
11-18,1030556,1860922,985410,1001102,55000,229359.34,227602.05
11-19,1894887,1084605,353904,36316,766455,761836.1,761753.4
11-20,979633,196508,985410,1001102,977132,1027569.0,1027417.25
11-21,409356,995967,223948,2423678,1451698,1448160.1,1450026.5
11-22,1030556,926905,1492144,1415482,63754,174236.16,173458.88
11-23,982438,995967,740304,1507256,2415260,2352503.8,2351679.2
11-24,673080,1367013,985410,1616300,1198180,1166146.8,1169995.5
11-25,1030556,761752,410993,1001102,57765,176926.28,177699.34
11-26,1412139,1072610,1403657,1001102,216931,257266.17,257108.53
11-27,1894303,402778,985410,1001102,541469,551546.2,554311.9
11-28,1030556,119302,19200,414573,929854,940939.2,940833.1
11-29,232468,1375245,1182522,1791887,3127228,3104491.8,3104386.2
11-30,2113886,15000,1645897,2049082,1025531,1025627.6,1025378.44
12-01,1843619,995967,139500,1001102,55305,130816.39,131493.78
12-02,809940,9000,1553751,110608,643685,643792.06,643285.9
12-03,694473,2017247,382568,2581756,414578,418005.94,417215.53
12-04,467960,1795842,985410,1530076,1140472,1122829.9,1123145.6
12-05,1182186,409224,1842527,77185,1573210,1574281.5,1574738.2
12-06,1551718,186283,985410,193758,2006936,2015963.0,2016065.6
12-07,1030556,588744,1147598,1001102,1092071,1081176.8,1086960.6
12-08,2085781,899322,257842,451476,1198180,1200997.9,1201407.8
12-09,16914,728628,39000,1001102,109718,104736.62,104519.555
12-10,2070899,995967,406871,4125467,658817,655021.2,654727.5
12-11,1940027,882100,859360,142092,917003,919436.8,918573.4
12-12,227062,109222,1728747,1942264,299712,330486.25,330785.75
12-13,1577389,976204,985410,542694,1198180,1288298.4,1284910.5
12-14,1658727,995967,232187,3466336,383748,357079.56,357374.66
12-15,1030556,170426,244856,887390,3488779,3381431.2,3381727.2
12-16,1030556,3601666,967871,1001102,54200,40558.715,42324.273
12-17,1530251,995967,751870,1001102,1157229,1224583.2,1224311.2
12-18,1765062,285767,985410,1001102,410130,421193.5,421427.25
