Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
03-29,1030556,1520655,985410,1275836,1124245,1336990.7347860865,1336990.7347860865,1329820.0186917668,1318287.7832691509,1311111.7935501477
03-30,2553776,674306,12479,944108,1198180,1077789.5805799626,1077789.5805799626,1066117.106739578,1060587.708647248,1056073.4635277237
03-31,236370,995967,109450,1001102,1045272,944510.3184959972,944510.3184959972,928923.0677371784,927506.7891667594,924487.6835592929
04-01,1030556,1092037,985410,1622925,1198180,1117837.025670491,1117837.025670491,1111495.548433431,1099205.6839742512,1096259.9281425772
04-02,711520,1838186,13758,516783,1372254,1307838.9932488056,1307838.9932488056,1294583.7826489322,1285222.2207243238,1281547.683835359
04-03,349977,1833010,1449469,3010,1482300,1057706.4417974623,1057706.4417974623,1057319.2037453472,1050176.157940542,1042773.0797675558
04-04,1030556,995967,505890,2721668,1198180,1348844.1498640664,1348844.1498640664,1307346.333403391,1303607.0727520762,1296524.6232875034
04-05,1281033,31072,2967374,549966,160327,769680.4616650494,769680.4616650494,767408.5745831791,768295.0859909542,765344.233556272
04-06,1330727,2197125,985410,1001102,2018614,1596639.2686518088,1596639.2686518088,1593556.9606401518,1584303.4412361858,1565217.2585603194
04-07,189976,497448,1800417,1683542,1198180,1365807.0819991543,1365807.0819991543,1359350.2196425828,1349026.9491122358,1338614.2636907145
04-08,276556,995967,104170,1001102,1192210,1053752.3458000978,1053752.3458000978,1041109.6067980366,1035041.0268380492,1031555.2282763245
04-09,86779,185406,207914,328894,1949806,1745943.6796189346,1745943.6796189346,1753951.4558621314,1749489.4755337222,1740339.2194188174
04-10,45650,1594842,985410,917857,570090,987475.085512278,987475.085512278,982733.7726671696,979837.625526254,973866.1570174204
04-11,1491767,788430,991468,1391931,1198180,1231206.1635574324,1231206.1635574324,1241278.0399595415,1237414.948758324,1227736.1644032141
04-12,2331420,143531,985410,205531,615044,1030085.3715291456,1030085.3715291456,1021393.3658906892,1014064.4511713583,1007923.7957116134
