Month_Day,2018,2019,2020,2021,2022,2023,2024
08-25,836328,266229,985410,799402,692267,941588.473217794,941588.4732177939
08-26,78000,90277,789389,323623,1198180,1099341.3537576825,1099341.3537576823
08-27,983630,995967,46182,1001102,221047,623160.1423944125,623160.1423944125
08-28,787922,2088198,1517943,184925,1639211,1434989.7411231264,1434989.7411231264
08-29,113473,1371241,985410,1687704,1198180,1540330.6650173664,1540330.6650173664
08-30,1030556,1721775,274471,1001102,4243153,2341198.4765416235,2341198.4765416235
08-31,1581838,813114,2050034,1280352,1198180,996739.7580598604,996739.7580598603
09-01,835290,995967,985410,1001102,1198180,1069046.013977952,1069046.013977952
09-02,1452479,995967,985410,1001102,1198180,1300907.0909943131,1300907.0909943131
09-03,1127602,158098,708148,1222897,1982907,1733389.1863157293,1733389.1863157293
09-04,277265,2602408,985410,801358,1132502,1019028.5647711044,1019028.5647711043
09-05,283414,255446,972796,102292,2267886,1757127.3063113631,1757127.3063113631
09-06,1353565,995967,1954325,2300934,70083,692502.2081708272,692502.2081708272
09-07,840629,1857767,2006033,2031956,1694375,1349998.4724788729,1349998.4724788729
09-08,108200,995967,985410,1001102,1198180,1273792.7243241996,1273792.7243241996
09-09,400244,1233784,286188,925660,1198180,1241847.209894391,1241847.209894391
09-10,1917313,90000,985410,926953,678486,773569.6660079485,773569.6660079485
09-11,1617895,995967,77024,2768970,535008,358370.6064741497,358370.6064741497
09-12,654462,997333,1435168,367064,1145079,1045490.3292940068,1045490.3292940067
09-13,15000,995967,2126695,1262482,556929,1118597.4072883525,1118597.4072883523
09-14,1007291,1334077,324009,1850005,1198180,1479597.374176262,1479597.374176262
09-15,572486,701882,2621862,1389161,1198180,1005816.4667504254,1005816.4667504254
09-16,505107,924059,985410,414255,1198180,933555.6983524766,933555.6983524766
09-17,1545056,513579,985410,1001102,1697516,1585720.626981477,1585720.626981477
09-18,1697822,129518,441025,1001102,1198180,1101176.5245184808,1101176.5245184808
09-19,563507,908119,985410,825057,1759496,1206337.5816095574,1206337.5816095574
09-20,1030556,384294,985410,1243506,1562431,1338351.1100700293,1338351.1100700293
09-21,477958,979495,1321452,2961713,938942,1031023.7909132392,1031023.7909132392
09-22,316352,709874,2122983,621987,1198180,1270069.2561016693,1270069.2561016693
09-23,1030556,853624,414340,1001102,1198180,1088281.9560296938,1088281.9560296938
09-24,870680,1282206,92743,347056,1502601,1466459.304687663,1466459.304687663
09-25,3198049,61920,1417076,611149,496917,810927.893472514,810927.893472514
09-26,1030556,995967,985410,1853309,1198180,1256677.59979,1256677.59979
09-27,1030556,1877253,145319,1001102,2449697,1963257.7353307316,1963257.7353307314
09-28,936500,111977,345467,1336377,1198180,1287807.64218213,1287807.64218213
09-29,2420666,690574,1895615,2205453,1372961,1269517.2780810914,1269517.2780810914
09-30,38000,1077076,25002,1001102,1198180,1036308.4110263638,1036308.4110263638
10-01,1378525,995967,462707,1001102,2576140,1834857.8238347708,1834857.8238347708
10-02,1030556,995967,618867,2051000,1177883,1464828.675791041,1464828.675791041
10-03,448986,32531,2932800,396127,1198180,1104280.9200231694,1104280.9200231694
10-04,2719554,500886,397539,1001102,1347521,1429702.6097522096,1429702.6097522096
10-05,1030556,1727793,266169,1001102,887222,1519922.2921868977,1519922.2921868977
10-06,1030556,534194,219160,140492,1198180,1180857.6802594203,1180857.6802594203
10-07,1799338,336087,985410,1113275,253239,387433.3971526358,387433.3971526358
10-08,92929,577380,496805,2554997,399892,668961.9842896377,668961.9842896377
10-09,754418,995967,985410,1001102,1301113,1053601.845717644,1053601.845717644
10-10,406531,995967,1655854,1001102,1040320,890489.1444890103,890489.1444890103
10-11,1030556,995967,502113,1901362,3164532,2183244.0031626457,2183244.0031626457
10-12,1545985,1263175,390885,187610,1198180,1240935.2558237617,1240935.2558237615
10-13,1030556,900885,638239,190401,1198180,1228808.60360273,1228808.60360273
10-14,959612,2801771,1334916,1294739,1198180,1229587.0785517427,1229587.0785517427
