Month_Day,2018,2019,2020,2021,2022,2023,2024
05-07,1030556,533203,102836,332753,1198180,1186949.1133342106,1181544.8979256556
05-08,446726,1389275,1504014,15876,250165,499201.3909525415,489763.3578790753
05-09,1226065,2524884,236003,2124476,1198180,1272135.8474426293,1280743.5670284766
05-10,556401,995967,139570,2700007,2708486,1862168.6647069585,1855517.9631243749
05-11,1679491,1805895,991281,346950,1198180,988710.1254504313,1042663.8011602452
05-12,344526,995967,1783359,1001102,501138,916547.761809114,918761.7723160876
05-13,1030556,1205260,985410,1001102,1198180,1238651.7776955045,1206951.0616629166
05-14,1635511,1689095,985410,1103407,100686,626244.542071098,665810.5472076209
05-15,1457846,72452,80000,1001102,2582503,2103523.612162714,2026735.393228769
05-16,1030556,15000,1536693,2389491,1710925,1399953.802813137,1377385.4550204554
05-17,1030556,424325,985410,1001102,1198180,1210438.7020396744,1211315.1329898357
05-18,618354,1035713,1618502,1001102,335345,754802.7815175409,811480.3742639213
05-19,1724855,995967,1700775,980163,1198180,1039102.7842052014,1056414.349718501
05-20,32977,1269085,985410,502782,1172228,1135418.3457609506,1159234.4163596518
05-21,1152978,1797842,766116,797311,329540,491692.8769512357,617843.5562837003
05-22,1569985,324857,1932343,1001102,2225042,1942427.3454097689,1827405.2135014746
05-23,224529,995967,985410,160463,641067,1120857.890512393,1095743.7882381186
05-24,1030556,2000530,985410,1709501,328220,832808.9069846809,877801.0888436227
05-25,1030556,47878,1354063,410375,273731,683529.4043424343,709676.6230988551
05-26,2481189,995967,1144446,1001102,179127,696617.3249352397,733367.1134783638
05-27,2591526,1505501,985410,1001102,1730231,1502713.3918024795,1454810.922417519
05-28,1030556,1827491,318615,1636455,1198180,1307912.7810712724,1298902.403913067
05-29,1030556,860585,985410,2204343,1198180,986061.2324299236,1106452.1427458297
05-30,1286324,995967,153876,1305059,5734111,3984934.852197754,3937017.6557339267
05-31,421774,1792161,1343077,1001102,816859,939527.8280706552,951368.562845593
06-01,703570,995967,908810,558130,1198180,1045341.3093283364,1076252.2826777461
06-02,2787360,53877,102000,678089,1198180,1009515.7350390988,1058117.4240069042
06-03,2401072,995967,924133,649070,1198180,967900.4684266712,1004476.4223702635
06-04,1627907,43000,233917,880693,732844,745663.4058873489,771382.8614541901
06-05,1030556,145803,1311267,1795806,1474452,1227079.5712438845,1268834.9924389995
06-06,534235,397894,807514,611210,666718,672240.0805823111,814642.5370085025
06-07,1360307,10374,328430,1213845,1198180,1323273.8172261424,1277685.647895651
06-08,3598011,1593326,928276,1001102,2919146,2684113.773636216,2627080.1712689246
06-09,1030556,826587,985410,445759,1198180,1123178.6505459505,1160327.4936068251
06-10,806997,33113,1239409,224683,2610859,2227854.998908822,2157519.994782916
06-11,1590813,105504,985410,196783,1060373,1080964.750198592,1095851.2616855092
06-12,4835,916661,174263,1470461,33434,221519.3606618909,257812.7383152661
06-13,825046,995967,1735664,1001102,1198180,1080065.9086947043,1183478.2042791105
06-14,1030556,482812,985410,534095,2993596,1759216.1531754984,1642080.138384577
06-15,1280016,1730771,1899715,911277,816956,961424.5430603456,978122.5211247975
06-16,154873,995967,985410,432767,102566,1076637.2635918518,964637.0836220008
06-17,1030556,262391,37940,1062607,371839,675398.7111857082,779467.4198288197
06-18,376422,2339132,2215330,1309072,277098,731012.0778141607,766414.8566841688
06-19,2258137,86988,985410,1001102,1198180,975847.7727680616,1087997.370041038
06-20,206230,1123371,985410,1330509,2908700,2016431.3207409745,1845077.4155804946
06-21,1030556,525424,106262,1461574,475899,918576.786034447,953873.6937967384
06-22,1587242,995967,1144069,1103883,583735,817439.3675978343,934364.4663414301
06-23,138000,995967,2170126,1367994,2111541,1711903.255249269,1756069.980071469
06-24,672380,1915380,625379,156025,1946630,1606322.355005679,1635047.6553667777
06-25,580927,2079863,985410,390298,1198180,1070366.1590278016,1122363.3597327636
06-26,1522914,254017,985410,1001102,2068514,1538515.5304656706,1647448.813032041
06-27,354151,668400,338816,794999,1198180,1010838.5984890064,1139521.302279493
06-28,729882,2358632,985410,1001102,1198180,1286516.8779157477,1272402.7473531852
06-29,1030556,995967,1601478,1308869,1118273,1223839.7163633916,1170562.972830109
06-30,491886,185672,1084148,1994199,545951,927214.5918976112,941186.2660045197
07-01,1030556,266878,1481618,341190,1986833,1470122.7108206616,1529462.239489231
07-02,343929,995967,1063588,1519759,2386754,1649736.2914150374,1642554.6358254661
07-03,721862,995967,985410,753561,287116,1018379.5554320238,881240.409410187
07-04,635614,162940,223800,120809,1198180,1359642.4556152683,1257320.0723101927
07-05,1849462,1216573,985410,1001102,1572461,1086758.8319468652,1162976.4957866038
07-06,410929,1877885,470811,1001102,348147,971269.1330873672,910432.0886157058
07-07,1030556,517177,772192,644112,1198180,1021850.2327251392,1059639.4518065383
07-08,2271569,2634044,1191553,2014225,1198180,1324673.267498965,1308975.608190822
07-09,1466534,995967,2505064,2875213,205556,474532.94177175086,504868.60466202395
07-10,853516,1753099,1199043,1001102,2504648,1610684.8932954092,1664434.8803901288
07-11,265174,995967,241137,312693,7169,993281.89477568,962649.2807414538
07-12,2101044,995967,985410,1001102,3012812,1401415.5003188206,1598991.7274316053
07-13,1030556,995967,975980,795646,441931,1073417.4407890383,925461.6012276423
07-14,890793,995967,1963444,1877828,1198180,1293581.5481879988,1244832.7655616864
07-15,1384564,1245311,31752,1107547,26000,672939.2115098579,679745.0137350406
07-16,271203,1461359,705290,1001102,1198180,1257450.7428819516,1232335.771950706
07-17,2128496,557998,985410,737021,1023180,1109380.1649597331,1025103.9814072078
07-18,1030556,1149233,985410,106877,1322027,1130186.9065247995,1240534.7063044717
07-19,1030556,1996587,985410,606083,579959,1071174.483401792,967810.9202788922
07-20,2087643,110000,415950,2777052,1556266,1308702.8790443796,1281454.3941292036
07-21,300786,948107,2623328,19200,1344181,1442070.2870558226,1418513.3733544408
07-22,1030556,390052,3059067,91510,48260,488982.6010524867,503525.22426275915
07-23,794480,14000,116627,1358221,1479618,1333023.0720121656,1333939.9615925248
07-24,1065470,474624,985410,91875,1198180,1284203.156071706,1210675.9155525756
07-25,1427245,2541134,1378481,1224813,1720431,1416648.5111236237,1455344.3519776848
07-26,1030556,995967,985410,161947,1044105,1112520.626197128,1140589.861159663
07-27,15000,552862,195342,1007219,1071306,913963.7765000832,927099.3120892388
07-28,1030556,740463,1247923,302473,1198180,1473046.8981599263,1277918.7084593142
07-29,1595899,148413,145581,2405621,116000,718496.0252148373,717789.6275511266
07-30,181298,1516868,403387,1001102,1509348,1290564.0399918782,1283245.7216521513
07-31,1842774,1790659,786211,72050,46424,52372.12376679804,97386.06299682568
08-01,1504137,1939840,132474,613200,1292425,1438042.2145656578,1389247.858016385
08-02,494192,248142,985410,153552,2701790,1855332.380451139,1851375.375713037
08-03,1030556,1688033,985410,1053242,518301,955854.186072402,923869.1780906668
08-04,1030556,350293,452949,31752,1198180,1100946.319795185,1116544.717284352
08-05,1512319,1592203,985410,87319,73927,564827.0338722453,610477.2875759652
08-06,50991,995967,1715022,1258893,1304588,1466965.3900572658,1409627.8383805305
08-07,1141053,1744126,1327088,1001102,794796,961613.885593898,959705.5116457505
08-08,249906,995967,1805132,694112,1982668,1695357.8636807096,1654170.285963642
08-09,203621,646170,736976,1001102,1262948,1169383.1523642123,1225708.5446696028
08-10,183259,2136348,1312861,83000,1198180,1043637.6269340416,1087959.4061243222
