Month_Day,2018,2019,2020,2021,2022,2023
08-22,105200,870185,1423800,922886,2347883,1753573.5720380768
08-23,11532,2581136,445413,1001102,934059,1073084.5325694252
08-24,1030556,995967,693932,323155,1767938,1428302.8727511782
08-25,836328,266229,985410,799402,692267,1076991.174095603
08-26,78000,90277,789389,323623,1198180,961065.0494205977
08-27,983630,995967,46182,1001102,221047,894170.0470857196
08-28,787922,2088198,1517943,184925,1639211,1264674.9014247356
08-29,113473,1371241,985410,1687704,1198180,1403255.3001086835
08-30,1030556,1721775,274471,1001102,4243153,2404999.2121464335
08-31,1581838,813114,2050034,1280352,1198180,1301517.3467599312
09-01,835290,995967,985410,1001102,1198180,1167857.0347143589
09-02,1452479,995967,985410,1001102,1198180,1375058.009775489
09-03,1127602,158098,708148,1222897,1982907,1662730.6092594196
09-04,277265,2602408,985410,801358,1132502,1178358.4998127185
09-05,283414,255446,972796,102292,2267886,1807269.301923581
09-06,1353565,995967,1954325,2300934,70083,592404.4799187358
09-07,840629,1857767,2006033,2031956,1694375,1271156.7008171044
09-08,108200,995967,985410,1001102,1198180,1344839.8450882419
09-09,400244,1233784,286188,925660,1198180,1170881.3673763233
09-10,1917313,90000,985410,926953,678486,933851.914022086
09-11,1617895,995967,77024,2768970,535008,629351.5702354021
09-12,654462,997333,1435168,367064,1145079,1043244.6249440601
09-13,15000,995967,2126695,1262482,556929,732304.6099609958
09-14,1007291,1334077,324009,1850005,1198180,1321319.126924969
09-15,572486,701882,2621862,1389161,1198180,1109647.237731032
09-16,505107,924059,985410,414255,1198180,1023633.4418385507
09-17,1545056,513579,985410,1001102,1697516,1557957.2402985124
09-18,1697822,129518,441025,1001102,1198180,1081838.8901225477
09-19,563507,908119,985410,825057,1759496,1036705.0870946669
09-20,1030556,384294,985410,1243506,1562431,1211341.7854716328
09-21,477958,979495,1321452,2961713,938942,896117.3689691585
09-22,316352,709874,2122983,621987,1198180,1271851.8479941252
09-23,1030556,853624,414340,1001102,1198180,1246697.4648409751
09-24,870680,1282206,92743,347056,1502601,1248907.540483277
09-25,3198049,61920,1417076,611149,496917,662874.5315223995
09-26,1030556,995967,985410,1853309,1198180,1261492.1668173927
09-27,1030556,1877253,145319,1001102,2449697,1752687.9474903354
09-28,936500,111977,345467,1336377,1198180,1360924.6800630186
09-29,2420666,690574,1895615,2205453,1372961,1359479.0290972309
09-30,38000,1077076,25002,1001102,1198180,1041385.6929202336
10-01,1378525,995967,462707,1001102,2576140,1625875.408002715
10-02,1030556,995967,618867,2051000,1177883,1254661.0327522568
10-03,448986,32531,2932800,396127,1198180,1131103.2716344716
10-04,2719554,500886,397539,1001102,1347521,1333415.2415942624
10-05,1030556,1727793,266169,1001102,887222,1431061.370323286
10-06,1030556,534194,219160,140492,1198180,1276938.107540036
10-07,1799338,336087,985410,1113275,253239,708954.5603902658
10-08,92929,577380,496805,2554997,399892,721553.5937146691
10-09,754418,995967,985410,1001102,1301113,1163401.0705354298
10-10,406531,995967,1655854,1001102,1040320,1065853.902260668
10-11,1030556,995967,502113,1901362,3164532,1934072.7534918478
10-12,1545985,1263175,390885,187610,1198180,1291307.932401306
10-13,1030556,900885,638239,190401,1198180,1282977.3575892048
10-14,959612,2801771,1334916,1294739,1198180,1209509.378307814
10-15,1030556,995967,30000,1001102,1198180,1116693.835575766
10-16,2902543,995967,1465541,117895,1720179,1603297.1886732746
10-17,1030556,995967,985410,1685168,789497,1141883.3422617232
10-18,372810,1764841,89608,964895,1352002,1403979.8368310065
10-19,467978,995967,1856334,1270703,1968600,1697872.4368148851
10-20,1030556,337365,985410,1001102,1198180,1202359.9789950224
10-21,727386,1232607,1384924,1520478,472053,882000.476207686
10-22,1231810,1442428,985410,109161,323999,744311.8672502233
10-23,1882107,154999,81766,702053,692504,784038.9241456339
10-24,1030556,995967,985410,1206527,2678247,1623146.1480118146
10-25,1030556,1220440,985410,1001102,1764542,1238651.7776955043
10-26,630233,24000,2728328,1607445,1198180,1129352.0512770219
10-27,1489303,984841,1390039,1432875,1198180,1141916.1523355064
10-28,1030556,1331615,985410,28320,49881,489531.0089949113
10-29,2345779,1242249,40033,1001102,1048859,1047097.5956348984
10-30,1590006,69450,985410,496914,2158821,1855565.2074799214
10-31,1030556,995967,167759,2622446,1198180,1095885.7208010985
11-01,1030556,1317508,985410,1163870,2776196,1618329.9953100989
11-02,1030556,911443,1779630,555545,1068819,1074325.6855137844
11-03,597719,1549416,110237,1001102,1198180,1342680.910699703
11-04,1030556,995967,985410,1001102,549580,1218438.955892446
11-05,685638,995967,856184,2894443,515414,650179.5979680311
11-06,1084752,1895321,289131,749747,749205,925538.4920367694
11-07,476374,249075,301669,1140349,1198180,1368815.555928491
11-08,53000,24000,1826925,215714,1877499,1939763.2249726434
11-09,1823828,313454,985410,548946,631011,949854.1743004071
11-10,776127,798181,985410,738000,735571,1021927.9652542714
11-11,669810,1769135,1303282,1001102,127226,993280.1712455231
11-12,45000,65554,345699,999768,263172,681009.0427773272
11-13,1030556,1443565,1195712,392751,1321624,1409664.057113448
11-14,1030556,31000,136145,400150,186143,404231.87420279277
11-15,76884,1911086,1246453,1599285,3334970,2681940.445647194
11-16,1488036,249889,1338890,1885526,1722214,1520772.621366174
11-17,788942,709253,178053,494876,1198180,1182399.6245468901
11-18,1030556,1860922,985410,1001102,55000,901997.8593176169
11-19,1894887,1084605,353904,36316,766455,693214.1349956085
11-20,979633,196508,985410,1001102,977132,1312109.7119231585
11-21,409356,995967,223948,2423678,1451698,1099917.4049449943
11-22,1030556,926905,1492144,1415482,63754,793503.4423321598
11-23,982438,995967,740304,1507256,2415260,1872422.6368599155
11-24,673080,1367013,985410,1616300,1198180,1159547.534159948
11-25,1030556,761752,410993,1001102,57765,1129571.0484613685
11-26,1412139,1072610,1403657,1001102,216931,645510.3728663367
