Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923,11283272.94,6013168.61,4353954.258,24487599,4354486.132
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071,11283272.94,6013168.61,9964773.658,0,9964327.666
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740,11283272.94,6013168.61,1420675.348,191968,1420884.962
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168,11283272.94,6013168.61,0,7725644,2068.801312
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718,11283272.94,6013168.61,1568.747083,9080367,2966.946763
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246,11283272.94,6013168.61,6912357.078,9.02E-10,6912340.938
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021,11283272.94,6013168.61,4226654.841,3.74E-10,4226323.272
22-May,9642828,6361492,3105731,8331188,12089845,3154191,8998730,9311066,3599403,11283272.94,6013168.61,9309053.461,3105731,9306385.292
23-May,0,0,11168358,0,271430,10500160,0,6578720,15084154,11283272.94,6013168.61,6578807.291,11168358,6578550.79
24-May,0,10421961,1614018,43650000,7208427,0,10396496,38502,6269808,11283272.94,6013168.61,39383.35966,1614018,39872.4437
25-May,4294628,11389176,11948175,0,0,6305244,6580190,45605697,5500000,11283272.94,6013168.61,45604850.98,11948175,45603932.03
26-May,14940363,4612617,8687210,1115964,0,33748327,129128,4259317,27590536,11283272.94,6013168.61,4259032.935,8687210,4258335.719
27-May,9577664,6782197,2407591,445570,13728214,4753740,0,10912212,0,11283272.94,6013168.61,10912559.67,2407591,10911159.7
28-May,8819290,9151825,30500512,1108214,9043688,490471,18001733,6293037,1308446,11283272.94,6013168.61,6292201.913,30500512,6292421.764
29-May,8728816,0,0,12966417,7941210,11992880,6481268,5298106,4473577,11283272.94,6013168.61,5297791.499,0,5297239.609
30-May,7783716,2688470,7964971,16432829,0,0,9298616,10717883,22413910,11283272.94,6013168.61,10718528.06,7964971,10719117.56
31-May,2898061,28399379,0,0,2835081,19015580,0,5575095,2930696,11283272.94,6013168.61,5574488.903,2.08E-09,5574771.605
01-Jun,198000,16078479,0,118046,0,95224,450568,0,0,11283272.94,6013168.61,601.9830046,0,1399.321515
02-Jun,11096584,10641236,10747090,2981456,0,6823240,5333183,0,4188255,11283272.94,6013168.61,957.1846018,10747090,2221.663375
03-Jun,7309807,6672226,2603569,23020280,16436425,0,7035424,0,6687679,11283272.94,6013168.61,0,2603569,0
04-Jun,2110445,192784,802424,19916162,9298682,0,15740800,9308993,6007061,11283272.94,6013168.61,9307881.266,802424,9308657.093
05-Jun,18020443,0,23314545,0,12475071,4074687,5528500,12402007,13391453,11283272.94,6013168.61,12402450.7,23314545,12402494.87
06-Jun,0,6152643,6918554,4216706,10713186,111600,47168373,1457137,0,11283272.94,6013168.61,1457568.289,6918554,1459343.215
07-Jun,0,25690555,9464676,9379587,4297477,0,9971550,0,1402243,11283272.94,6013168.61,0,9464676,179.7090963
08-Jun,553118,2429170,1574903,300061,157640,3426293,13659587,17628078,4137234,11283272.94,6013168.61,17628533.93,1574903,17627279.19
09-Jun,14245835,4982262,13434213,52325570,0,19388177,6255835,0,0,11283272.94,6013168.61,298.0821342,13434213,548.4623329
10-Jun,13426069,192784,0,0,22968645,826650,1005081,10806497,7236289,11283272.94,6013168.61,10806231.62,1.05E-08,10805408.84
11-Jun,7406260,9763568,323296,2909269,0,6478288,6928590,2657799,13121432,11283272.94,6013168.61,2658282.22,323296,2656694.691
12-Jun,5602509,3595721,6639675,8533102,15131602,0,4123226,9102690,9253810,11283272.94,6013168.61,9102487.208,6639675,9102960.723
13-Jun,35669453,0,7294299,912257,0,3723557,0,7179420,7399379,11283272.94,6013168.61,7180080.521,7294299,7180659.091
14-Jun,39835816,18943614,477582,0,12494691,12000000,3030995,7092354,134553,11283272.94,6013168.61,7092838.561,477582,7092505.79
15-Jun,0,3323966,3489711,0,30094980,7986203,7980367,6267605,4172609,11283272.94,6013168.61,6266953.811,3489711,6266223.363
16-Jun,8529178,0,1572724,737893,16055700,0,142315,221292,6749370,11283272.94,6013168.61,222953.8285,1572724,223457.6844
17-Jun,2977007,4322187,8985419,0,5602230,283510,8718225,1792082,0,11283272.94,6013168.61,1791773.672,8985419,1793045.675
18-Jun,1882639,11557305,8278180,1385965,13865039,882800,0,7346215,48813363,11283272.94,6013168.61,7346098.592,8278180,7346525.94
19-Jun,14841647,15366,1227450,15358334,16607017,0,11767056,0,890493,11283272.94,6013168.61,0,1227450,1715.747979
20-Jun,697049,19526204,2252749,14273456,3031498,6283050,11494277,2520531,9818706,11283272.94,6013168.61,2520242.936,2252749,2520982.918
21-Jun,0,10099444,7591851,7876000,1589217,14903190,4042780,3881650,3947611,11283272.94,6013168.61,3882770.651,7591851,3884467.568
22-Jun,0,6980196,8775432,0,0,7741857,9410220,794247,11945650,11283272.94,6013168.61,795048.1457,8775432,796775.9034
23-Jun,8733473,327950,1803836,283987,55938,12651682,1190005,8039674,0,11283272.94,6013168.61,8039158.992,1803836,8039925.147
24-Jun,1515569,0,10068339,1160899,4720263,0,15385434,14720164,28582104,11283272.94,6013168.61,14719639.73,10068339,14718862.11
25-Jun,23838954,8350291,0,14365505,15000559,21722740,2019125,8189799,1349910,11283272.94,6013168.61,8190150.454,4.76E-09,8189964.437
26-Jun,13696987,7323201,11616613,16396190,7108581,6295290,5420431,2369523,6657683,11283272.94,6013168.61,2370867.049,11616613,2371862.986
27-Jun,12981174,4724137,1295224,0,0,12229674,0,0,9881215,11283272.94,6013168.61,0,1295224,266.9007425
28-Jun,5306348,6411233,3007367,3046047,12155807,0,0,354900,1680074,11283272.94,6013168.61,354015.9325,3007367,356657.0177
29-Jun,0,0,6373411,0,0,10218865,5809199,0,0,11283272.94,6013168.61,0,6373411,0
30-Jun,10940971,8560593,10957023,4526775,3579028,8214750,5193269,6234611,8412986,11283272.94,6013168.61,6232779.576,10957023,6230599.277
01-Jul,4116911,11452551,236911,0,0,6921794,16664381,9780919,5803691,11283272.94,6013168.61,9781466.791,236911,9781404.836
02-Jul,7280735,99594,5316480,6070490,7509145,10580540,5691543,3446428,10856972,11283272.94,6013168.61,3444865.999,5316480,3446038.617
03-Jul,464455,0,6778694,21750113,19454290,7982816,0,8656507,0,11283272.94,6013168.61,8656887.757,6778694,8655175.432
04-Jul,28272332,8613660,5755504,11605737,5946336,0,6646139,0,7115818,11283272.94,6013168.61,1246.435322,5755504,1725.950787
05-Jul,5225000,10191290,0,0,1178930,236102,1485420,4719179,0,11283272.94,6013168.61,4719404.053,0,4716979.623
06-Jul,0,0,2464195,213602,28800,8728000,8125918,3815433,5319177,11283272.94,6013168.61,3816182.836,2464195,3815332.895
07-Jul,9366868,1246697,42417242,0,22640,3401617,5127179,4040280,7283532,11283272.94,6013168.61,4039314.038,42417242,4040800.206
08-Jul,9279203,8923320,0,3525538,6442187,19614703,0,0,4809108,11283272.94,6013168.61,0,3.50E-09,0
09-Jul,5630684,538600,5714500,21871830,14516942,6413505,11342555,21803227,7347730,11283272.94,6013168.61,21802670.39,5714500,21802043.3
10-Jul,10388950,44396456,8038071,18899997,8349413,8189980,12384010,4142947,2942276,11283272.94,6013168.61,4142497.9,8038071,4142093.232
11-Jul,3838504,0,8079387,5508744,558709,42942257,1563436,10993100,3561567,11283272.94,6013168.61,10992740.25,8079387,10992006.54
12-Jul,25200000,15902328,0,47498200,1369706,41000,0,8935409,5085491,11283272.94,6013168.61,8935320.22,0,8934255.587
13-Jul,1302546,2227927,10124626,0,0,10567343,5679212,6926234,12599800,11283272.94,6013168.61,6926093.228,10124626,6924791.883
14-Jul,1508000,10404600,0,1657799,0,10177241,4618139,10460000,0,11283272.94,6013168.61,10457857.34,0,10455288.18
15-Jul,18717462,11083221,9789221,598519,16291110,7776972,2917720,6137302,14199346,11283272.94,6013168.61,6137694.148,9789221,6138603.576
16-Jul,4419092,3391312,4566865,22433866,18008191,7826244,0,0,6464120,11283272.94,6013168.61,0,4566865,0
17-Jul,0,1724936,11995832,22152896,10787608,0,290436,8307274,0,11283272.94,6013168.61,8306454.186,11995832,8305841.56
18-Jul,1944243,8310286,11900526,0,9057951,0,11971524,10591304,46750,11283272.94,6013168.61,10590340.16,11900526,10589419.12
19-Jul,9291661,27061681,1330372,0,2204847,1179974,3795052,12020722,15492936,11283272.94,6013168.61,12020310.26,1330372,12018465.78
20-Jul,11574351,1484615,47567806,2899517,0,0,9207118,1136581,129589,11283272.94,6013168.61,1137295.651,47567806,1136457.988
21-Jul,9058756,4142264,4442000,15000000,0,8904006,5166855,2625720,7295383,11283272.94,6013168.61,2625726.388,4442000,2621332.004
22-Jul,216275,11874228,10454651,161671,5354159,12019123,16063000,25484573,9475381,11283272.94,6013168.61,25484699,10454651,25484972.39
23-Jul,6855691,10992908,3288838,5212949,7501940,15009560,16078543,3087563,18673864,11283272.94,6013168.61,3088591.52,3288838,3089215.384
24-Jul,7275985,0,10766119,12171014,17995409,0,101116,805868,0,11283272.94,6013168.61,805873.721,10766119,806331.6674
25-Jul,0,4487456,9451009,28226649,14899411,9000,4860677,5023573,17530795,11283272.94,6013168.61,5023048.685,9451009,5022406.486
26-Jul,0,7951784,0,0,0,23005400,0,646836,5467339,11283272.94,6013168.61,646811.126,7.14E-10,647283.6324
27-Jul,1332827,5219410,10007625,23280,2915972,0,7614072,5499770,483013,11283272.94,6013168.61,5501354.305,10007625,5504231.674
28-Jul,11929280,5529792,18557225,102930,4081640,16138219,13637281,0,12792440,11283272.94,6013168.61,0,18557225,1016.207991
29-Jul,5374720,3876442,277538,2679167,242744,7608742,8054351,7653291,4042786,11283272.94,6013168.61,7655277.949,277538,7659560.921
30-Jul,21812366,0,3268276,4429270,9263669,2130148,0,5350362,0,11283272.94,6013168.61,5350461.2,3268276,5351024.469
31-Jul,3146000,0,11198639,56819045,24339132,12079053,108790,199088,6419261,11283272.94,6013168.61,198487.8769,11198639,198889.2362
01-Aug,9061698,5157190,0,14984684,5787427,0,4777428,3871220,5315470,11283272.94,6013168.61,3871463.65,0,3875199.654
