Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
25-Mar,0,4663239,0,3731712,0,30843834,10127980,0,12954844,10127111.294885889,417.4363052044064,553.6167014557868,30844342.4215979,646.806402631104
26-Mar,2241319,0,6759812,11555269,13474414,10770418,7223521,14107000,0,7224390.345256318,13473115.229157688,14106065.71784461,10769656.055022191,14105994.522758003
27-Mar,5503275,0,0,8966609,14739111,0,0,15585873,5190870,0.0,14739574.944840122,15586065.611395229,857.6726269545034,15586939.385261439
28-Mar,4221623,2060943,17005141,1384933,13796417,0,722434,0,4165654,723215.2622474311,13796162.836660404,808.4290380766615,1093.1442604335025,0.0
29-Mar,25600406,12674759,6311381,0,0,0,2915211,6596774,5500000,2917007.003246801,0.0,6595465.263177336,0.0,6595860.115341795
30-Mar,0,3293968,5349280,1887874,2194098,5648819,3509329,9799440,10500000,3508476.037813742,2193555.6239653258,9799044.489630423,5646028.911333326,9798148.686973527
31-Mar,7857701,7338563,8852040,2903459,240669,8312918,0,2443644,6465311,0.0,241902.73801637627,2441584.884659992,8316388.7136725215,2441157.688218831
01-Apr,0,8730867,0,6939189,11752133,168135,7962049,0,7478205,7963023.555296608,11753675.522471216,0.0,169139.76075551845,735.9488190738484
02-Apr,10262781,117126,118295,10534258,16908286,7810350,9500000,14411680,5451420,9500635.897447731,16907985.335870862,14412675.32047164,7810659.168506134,14412428.676677808
03-Apr,10471229,0,10288653,16879954,5277327,0,0,2338547,776940,962.674224883318,5277582.297797547,2337535.885779145,1279.8343582078817,2336267.4919477473
04-Apr,4119118,0,6895760,8977110,313400,16827453,3924061,12772865,6189680,3925974.648021121,314598.907880689,12773083.41393216,16827272.006172583,12775038.65449721
05-Apr,0,17922268,3450144,0,2365073,0,2673064,5965643,5115632,2670015.2725198064,2365909.898777516,5964638.001708219,240.5614208811894,5964797.790972705
06-Apr,7123956,30877129,1481847,2226892,0,9667984,8282991,0,0,8282523.01070972,1092.8856015643105,634.6775467079133,9666894.59265148,1656.6468231119215
07-Apr,4569761,13357413,4384319,247336,78712,6443582,25125348,348118,13343185,25126423.98833541,78995.43335328437,348602.56027279235,6443661.194596525,349411.8986242525
