Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168,7899.99999998876,0.0,3451168.000000003,7725643.999999996,3451167.999999974
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718,0.0,10535966.0,9863718.000000004,9080367.000000002,9863717.999999981
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246,7345449.999999994,5533506.0,4973245.999999994,9.022187441587447e-10,4973245.999999983
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021,15520626.0,3997529.9999999977,278020.9999999964,3.7380232242867345e-10,278021.000000022
22-May,9642828,6361492,3105731,8331188,12089845,3154191,8998730,9311066,3599403,12089845.0,9642828.0,3599402.999999997,3105731.0,3599403.0000000163
23-May,0,0,11168358,0,271430,10500160,0,6578720,15084154,271429.99999999115,5.097564213912354e-09,15084154.0,11168358.000000002,15084153.999999966
24-May,0,10421961,1614018,43650000,7208427,0,10396496,38502,6269808,7208427.000000005,4.998411231836648e-09,6269808.000000014,1614017.9999999907,6269808.000000051
25-May,4294628,11389176,11948175,0,0,6305244,6580190,45605697,5500000,5.658892029428737e-09,4294628.000000013,5499999.999999994,11948174.999999994,5499999.999999971
26-May,14940363,4612617,8687210,1115964,0,33748327,129128,4259317,27590536,4.3266990095511266e-10,14940363.000000004,27590536.000000004,8687210.000000006,27590535.99999996
27-May,9577664,6782197,2407591,445570,13728214,4753740,0,10912212,0,13728214.000000004,9577663.999999996,0.0,2407591.0000000056,2.1522282622754574e-08
28-May,8819290,9151825,30500512,1108214,9043688,490471,18001733,6293037,1308446,9043687.999999996,8819290.0,1308446.0000000028,30500512.0,1308446.000000035
29-May,8728816,0,0,12966417,7941210,11992880,6481268,5298106,4473577,7941209.999999999,8728815.999999996,4473577.000000002,0.0,4473577.000000007
30-May,7783716,2688470,7964971,16432829,0,0,9298616,10717883,22413910,0.0,7783716.000000008,22413910.000000007,7964970.999999995,22413909.999999993
31-May,2898061,28399379,0,0,2835081,19015580,0,5575095,2930696,2835081.0000000084,2898060.999999999,2930695.9999999944,2.077285898849368e-09,2930695.9999999553
01-Jun,198000,16078479,0,118046,0,95224,450568,0,0,0.0,197999.9999999978,0.0,0.0,0.0
02-Jun,11096584,10641236,10747090,2981456,0,6823240,5333183,0,4188255,0.0,11096584.0,4188255.0000000014,10747089.999999998,4188254.999999984
03-Jun,7309807,6672226,2603569,23020280,16436425,0,7035424,0,6687679,16436425.0,7309807.000000001,6687679.000000002,2603569.000000001,6687679.000000052
04-Jun,2110445,192784,802424,19916162,9298682,0,15740800,9308993,6007061,9298681.999999993,2110445.0000000023,6007061.000000005,802423.9999999931,6007061.00000002
05-Jun,18020443,0,23314545,0,12475071,4074687,5528500,12402007,13391453,12475071.0,18020443.000000004,13391453.0,23314545.000000007,13391453.000000037
06-Jun,0,6152643,6918554,4216706,10713186,111600,47168373,1457137,0,10713185.99999998,0.0,2.4224391381721944e-09,6918553.999999983,0.0
07-Jun,0,25690555,9464676,9379587,4297477,0,9971550,0,1402243,4297477.000000002,4.846594961212593e-10,1402243.0,9464675.999999994,1402242.9999999925
08-Jun,553118,2429170,1574903,300061,157640,3426293,13659587,17628078,4137234,157639.99999999168,553118.0000000027,4137233.999999998,1574902.9999999928,4137233.9999999576
09-Jun,14245835,4982262,13434213,52325570,0,19388177,6255835,0,0,1.4083840275514816e-08,14245835.0,2.5698682293295864e-08,13434212.999999989,7.971539162099361e-08
10-Jun,13426069,192784,0,0,22968645,826650,1005081,10806497,7236289,22968645.000000004,13426069.0,7236288.999999989,1.0528310667723416e-08,7236289.000000034
11-Jun,7406260,9763568,323296,2909269,0,6478288,6928590,2657799,13121432,0.0,7406260.0,13121432.0,323295.9999999979,13121431.999999959
12-Jun,5602509,3595721,6639675,8533102,15131602,0,4123226,9102690,9253810,15131601.999999996,5602509.000000004,9253809.999999996,6639675.000000004,9253810.000000026
13-Jun,35669453,0,7294299,912257,0,3723557,0,7179420,7399379,3.1280748493322703e-09,35669452.99999999,7399378.999999999,7294299.000000002,7399379.000000003
