Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
14-Apr,11800818,6601210,1562839,1144754,14454598,19177718,11537130,2808995,9016423,18693588.27617536,18322112.534478296,2799587.5692438814,9091571.04747575,12332025.281648194
15-Apr,3833314,2143780,10340,12376860,13111348,8514827,1364828,0,6947340,8375835.623557154,8355599.765863499,0.0,7013207.077154676,1246578.6229809842
16-Apr,4080285,7059950,7509354,11100834,10873680,8526188,4428302,3792692,10734891,8516088.158705588,8493808.678804327,3792103.5101539386,10827979.679209292,4300793.886121235
17-Apr,3964133,0,8024630,8400451,2768885,0,0,0,7387005,0.0,0.0,0.0,7332425.981521649,0.0
18-Apr,3999263,6969255,7054838,1176575,6250810,270090,37991,915027,10404324,264502.9885722716,265266.57690057176,889580.3125681051,10369693.060109967,30387.075673028383
19-Apr,0,3857661,2102867,452266,17568872,0,9056320,15475606,0,0.0,13728.747851295537,13274024.827831108,0.0,9171425.264810963
20-Apr,0,6022618,7133422,1561,10867845,9975267,9610839,7590746,15278720,9845094.976101274,9812727.665588051,7828298.979488681,14583963.705910169,10182324.948287008
21-Apr,6198955,3970976,6734510,0,202952,2954908,13365861,6477836,5163834,2829824.4913485204,2810701.417341252,6527419.822365025,5188264.549988668,13552432.652730452
22-Apr,6893904,2682217,541240,16892031,6995830,4753108,9988358,0,4541272,4721930.910404921,4724762.090750866,0.0,4596507.709593267,9414016.275289427
23-Apr,18570416,5654586,0,3140927,14555521,0,98720,0,0,0.0,13263.419147452969,0.0,205433.1807040599,140112.80459297774
24-Apr,11501394,0,585400,8422211,7776422,0,867157,924858,16404708,580508.4766035902,727529.9978600977,947207.5715321724,23316508.47016422,853939.6857936108
25-Apr,1860,25000000,9100113,0,6043279,0,0,7423934,12599960,47467.35756713176,26042.258249196675,7453460.010884329,13492208.690405715,52387.521656468794
26-Apr,10751870,18619421,0,0,16055969,24412342,2009226,8862782,0,29343015.297570765,30073639.7920773,8907753.187299574,0.0,1944894.099805351
27-Apr,141987,3990259,6110488,19285698,0,2278409,8521784,0,8955000,2233269.54389318,2185770.373863345,7806.604602330123,8908973.784130475,8675706.586479045
28-Apr,8914017,2401330,11702575,6189235,0,138899,9872572,1789156,902878,24644.950774215424,26079.98272736012,1786247.0757854874,892817.0281663317,9510166.991995018
29-Apr,1157,9428769,1001349,7416,12791069,8586458,0,4666734,5896617,8524764.1270807,8536587.889848102,4758955.177795531,6013524.539885433,29310.516833467704
30-Apr,3289106,2919108,3068096,14811099,9630003,0,104654,3770382,23014418,476623.16009599145,594948.9210310107,3787847.73529235,23625527.239512496,81955.25443235404
01-May,13118119,0,7726570,13212177,7845577,0,18641320,407584,2410560,258210.2402648447,250310.5131334024,410179.8474934989,2417532.597409545,24312537.664634913
02-May,44467134,3104284,6949290,0,435142,758457,888606,21684966,19066865,1377869.414914146,1604898.0627745588,29045036.897671778,23574560.535041902,772287.7910940667
03-May,2634391,13286178,10458068,0,3000,0,2183933,19737332,7441024,87507.32320948568,68476.04670123153,30819267.48417283,7525118.331187946,2167586.0473887604
04-May,9240000,6031815,29148655,2639036,1930543,0,43925,4052961,1329411,141839.45676168904,132550.43229563153,4111124.556077052,1331814.0394891775,11047.94809376475
05-May,10308242,6212960,8028760,3800000,1494738,8690332,0,1295851,13750727,8684213.886376066,8653601.966863645,1302744.6369078197,13745504.934560545,0.0
06-May,0,8167868,0,0,23756367,8385239,22512619,18054581,5809595,8539440.769981312,8544669.426826457,23800109.73707246,5869046.343423064,32126410.286295965
07-May,10239777,8496000,0,11873046,54800,0,0,808633,0,0.0,9449.963457835554,1129663.9779989857,0.0,146939.4301092654
08-May,9075373,44000000,0,13089081,20274156,0,18722271,0,2162453,125567.0707644625,139019.06654196087,0.0,2797496.174745498,22300696.792728
09-May,4143796,996195,9542348,3017754,10228957,1803932,9175992,1608000,5272063,1866935.9036039223,1775957.2535432186,1630835.074842558,5292103.008851962,9074282.713529542
10-May,0,18639602,15000000,0,0,25369,26965400,6437660,3869043,43702.57219530885,52108.61465582867,6332961.419175538,3859584.398270549,33398390.820694353
11-May,8852000,7887640,4120873,4265127,1283674,2362953,145800,0,0,2524784.6777560697,2600221.09644685,0.0,23145.82367907028,370015.17639865936
12-May,8686239,3310694,7909923,4927010,104400,7323704,7631446,6544982,5904168,7476728.893407057,7501409.029757867,6575197.758054858,5929164.352260627,7613338.436412047
13-May,5473215,34331314,121076,274512,13126345,0,0,0,4132088,0.0,0.0,503387.4977738106,4552554.915128578,29855.175845104342
14-May,5168248,5690868,0,10597716,9012213,0,170261,7992657,9717608,3081.9695527405456,0.0,8141955.100704583,9644082.384352932,329645.1277883119
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923,8145891.58205539,8132745.56724979,4367973.280863677,1683974.3213219584,8806314.743040798
